OceanBasinQ,StudyID,YearSample,YearEnd, LocatLatitude,LocatLongitude,PreyClass,PreyOrder,PreyFamily,PreySP,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,body_shape,MAX of pFOuse
Mediterranean,Bello1999,1992,1992,41.096462,17.512247,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,mesopelagic,oceanic,1,0,0,fusiform ,6.50
Mediterranean,Bello1999,1992,1992,41.096462,17.512247,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,benthopelagic,continental shelf,1,0,0,fusiform ,25.80
Mediterranean,Bello1999,1992,1992,41.096462,17.512247,Cephalopoda,Sepiida,Sepiolidae,Heteroteuthis dispar,mesopelagic,continental slope,1,0,0,globiform,58.10
Mediterranean,Bello1999,1994,1994,41.096462,17.512247,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,mesopelagic,oceanic,1,0,0,fusiform ,63.20
Mediterranean,Bello1999,1994,1994,41.096462,17.512247,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,benthopelagic,continental shelf,1,0,0,fusiform ,73.70
Mediterranean,Bello1999,1994,1994,41.096462,17.512247,Cephalopoda,Sepiida,Sepiolidae,Heteroteuthis dispar,mesopelagic,continental slope,1,0,0,globiform,57.90
Mediterranean,Goni2011,2005,2005,40.158082,1.716886,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,epipelagic,coastal,1,0,0,elongated,29.20
Mediterranean,Goni2011,2008,2008,40.658373,11.445351,Cephalopoda,Oegopsida,Ommastrephidae,Illex coindetii,mesopelagic,continental slope,1,0,0,fusiform ,10.30
Mediterranean,Romeo2012,2002–08,2008,39.337218,11.12478,Cephalopoda,Myopsida,Loliginidae,Alloteuthis subulata,demersal,continental shelf,0,1,0,fusiform ,1.00
Mediterranean,Romeo2012,2002–08,2008,39.337218,11.12478,Cephalopoda,Octopoda,Argonautidae,Argonauta argo,epipelagic,coastal,1,0,1,compressiform,10.00
