OceanBasinQ,PreySP,,,
Mediterranean,Alloteuthis subulata,,,
Mediterranean,Anchylomera blossevillei,,,
Mediterranean,Ancistrocheirus lesueurii,,,
Mediterranean,Ancistroteuthis lichtensteini,,,
Mediterranean,Argonauta argo,,,
Mediterranean,Brachyscelus crusculum,,,
Mediterranean,Capros aper,,,
Mediterranean,Chiroteuthis veranii,,,
Mediterranean,Eledone cirrhosa,,,
Mediterranean,Engraulis encrasicolus,,,
Mediterranean,Heteroteuthis dispar,,,
Mediterranean,Histioteuthis bonnellii,,,
Mediterranean,Histioteuthis reversa,,,
Mediterranean,Illex coindetii,,,
Mediterranean,Maurolicus muelleri,,,
Mediterranean,Meganyctiphanes norvegica,,,
Mediterranean,Nematoscelis megalops,,,
Mediterranean,Octopoteuthis sicula,,,
Mediterranean,Ocythoe tuberculata,,,
Mediterranean,Ommastrephes bartramii,,,
Mediterranean,Onychoteuthis banksii,,,
Mediterranean,Paralepis coregonoides,,,
Mediterranean,Paralepis speciosa,,,
Mediterranean,Phrosina semilunata,,,
Mediterranean,Platyscelus ovoides,,,
Mediterranean,Platyscelus serratulus,,,
Mediterranean,Primno macropa,,,
Mediterranean,Pteroctopus tetracirrhus,,,
Mediterranean,Pterygioteuthis giardi,,,
Mediterranean,Pyroteuthis margaritifera,,,
Mediterranean,Sardina pilchardus,,,
Mediterranean,Sardinella aurita,,,
Mediterranean,Scaeurgus unicirrhus,,,
Mediterranean,Streetsia challengeri,,,
Mediterranean,Sudis hyalina,,,
Mediterranean,Todarodes sagittatus,,,
Mediterranean,Tremoctopus violaceus,,,
Mediterranean,Vibilia gibbosa,,,
Mediterranean Total,,,,
NE Atlantic,Acanthephyra pelagica,,,
NE Atlantic,Alpheus glaber,,,
NE Atlantic,Ancistroteuthis lichtensteini,,,
NE Atlantic,Anotopterus pharao,,,
NE Atlantic,Arctozenus risso,,,
NE Atlantic,Argyropelecus olfersii,,,
NE Atlantic,Arnoglossus imperialis,,,
NE Atlantic,Atlanta peronii,,,
NE Atlantic,Axius stirhynchus,,,
NE Atlantic,Barathronus parfaiti,,,
NE Atlantic,Belone belone,,,
NE Atlantic,Benthosema glaciale,,,
NE Atlantic,Blennius ocellaris,,,
NE Atlantic,Boops boops,,,
NE Atlantic,Brachioteuthis riisei,,,
NE Atlantic,Brachyscelus crusculum,,,
NE Atlantic,Calanus finmarchicus,,,
NE Atlantic,Capros aper,,,
NE Atlantic,Carinaria lamarckii,,,
NE Atlantic,Centrolophus niger,,,
NE Atlantic,Ceratoscopelus maderensis,,,
NE Atlantic,Chelophyes appendiculata,,,
NE Atlantic,Chiroteuthis veranii,,,
NE Atlantic,Chlorophthalmus agassizi,,,
NE Atlantic,Chtenopteryx sicula,,,
NE Atlantic,Cubiceps gracilis,,,
NE Atlantic,Diaphus luetkeni,,,
NE Atlantic,Diplodus sargus,,,
NE Atlantic,Electrona rissoi,,,
NE Atlantic,Eledone cirrhosa,,,
NE Atlantic,Engraulis encrasicolus,,,
NE Atlantic,Entelurus aequoreus,,,
NE Atlantic,Eusergestes arcticus,,,
