PreySP,max_fo,ave_fo,class,family
Abralia redfieldi,5,5,Cephalopoda,Enoploteuthidae
Abraliopsis affinis,1.16,1.16,Cephalopoda,Enoploteuthidae
Abraliopsis felis,36.4,15.57,Cephalopoda,Enoploteuthidae
Acanthephyra pelagica,38.89,15.34,Malacostraca,Acanthephyridae
Alloteuthis subulata,1,1,Cephalopoda,Loliginidae
Alpheus glaber,11.11,5.27,Malacostraca,Alpheidae
Anarrhichthys ocellatus,0,0,Actinopterygii,Anarhichadidae
Anchylomera blossevillei,4.2,2.53,Malacostraca,Phrosinidae
Ancistrocheirus lesueurii,7,7,Cephalopoda,Ancistrocheiridae
Ancistroteuthis lichtensteini,33,16.64,Cephalopoda,Onychoteuthidae
Anoplopoma fimbria,0,0,Actinopterygii,Anoplopomatidae
Anotopterus nikparini,1,1,Actinopterygii,Anotopteridae
Anotopterus pharao,11.11111111,8.333333333,Actinopterygii,Anotopteridae
Antigonia capros,3,3,Actinopterygii,Caproidae
Arctozenus risso,52,17.1,Actinopterygii,Paralepididae
Argonauta argo,13.11,8.35,Cephalopoda,Argonautidae
Argonauta nodosus,5,5,Cephalopoda,Argonautidae
Argonauta nouryi,0.5,0.45,Cephalopoda,Argonautidae
Argyropelecus olfersii,100,36.57354497,Actinopterygii,Sternoptychidae
Arnoglossus imperialis,24.07,18.37,Actinopterygii,Bothidae
Atherinopsis californiensis,0,0,Actinopterygii,Atherinidae
Atlanta peronii,1.85,1.85,Gastropoda,Atlantidae
Axius stirhynchus,4,4,Malacostraca,Axiidae
Barathronus parfaiti,1.85,1.85,Actinopterygii,Aphyonidae
Bathophilus flemingi,0.5,0.5,Actinopterygii,Stomiidae
Bathyagonus pentacanthus,0,0,Actinopterygii,Agonidae
Bathylagoides wesethi,0,0,Actinopterygii,Bathylagidae
Belone belone,8.7,2.81,Actinopterygii,Belonidae
Benthosema glaciale,10.3,2.31,Actinopterygii,Myctophidae
Berryteuthis anonychus,38.5,15.93,Cephalopoda,Gonatidae
Blennius ocellaris,5.56,4.21,Actinopterygii,Blenniidae
