PreyClass,PreyOrder,PreyFamily,PreySP,habitat_combi,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,TrophicLevel,body_shape,max_fo
Actinopterygii,Argentiniformes,Bathylagidae,Bathylagoides wesethi,mesopelagic,mesopelagic,oceanic,1,0,0,3.4,elongated,0
Actinopterygii,Argentiniformes,Bathylagidae,Leuroglossus stilbius,oceanic mesopelagic,mesopelagic,oceanic,1,0,0,3.26,fusiform ,0.4
Actinopterygii,Atheriniformes,Atherinidae,Atherinopsis californiensis,coastal epipelagic,epipelagic,coastal,0,0,1,2.33,elongated,0
Actinopterygii,Aulopiformes,Anotopteridae,Anotopterus nikparini,mesopelagic,bathypelagic,oceanic,UN,0,0,4.5,eel-like,1
Actinopterygii,Aulopiformes,Anotopteridae,Anotopterus pharao,mesopelagic,mesopelagic,oceanic,UN,0,0,4.34,elongated,11.11111111
Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,continental demersal,demersal,continental shelf,0,0,0,3.66,elongated,2.86
Actinopterygii,Aulopiformes,Omusdidae,Omosudis lowii,mesopelagic,mesopelagic,oceanic,1,0,0,4.29,elongated,16.7
Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,mesopelagic,mesopelagic,oceanic,1,0,0,3.22,elongated,52
Actinopterygii,Aulopiformes,Paralepididae,Lestidiops ringens,mesopelagic,mesopelagic,oceanic,UN,0,0,4.05,elongated,4
Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,mesopelagic,mesopelagic,oceanic,0,0,0,4.5,elongated,31.48
Actinopterygii,Aulopiformes,Paralepididae,Macroparalepis affinis,mesopelagic,mesopelagic,oceanic,0,0,0,4.1,elongated,4
Actinopterygii,Aulopiformes,Paralepididae,Magnisudis atlantica,mesopelagic,mesopelagic,oceanic,0,0,0,3.65,elongated,6.5
Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,mesopelagic,mesopelagic,oceanic,0,0,0,4.07,elongated,81.48148148
Actinopterygii,Aulopiformes,Paralepididae,Paralepis speciosa,mesopelagic,mesopelagic,oceanic,0,0,0,3.15,elongated,0
Actinopterygii,Aulopiformes,Paralepididae,Sudis hyalina,mesopelagic,mesopelagic,oceanic,UN,0,0,4.2,elongated,0
Actinopterygii,Beloniformes,Belonidae,Belone belone,coastal epipelagic,epipelagic,coastal,0,0,0,4.16,elongated,8.7
Actinopterygii,Beloniformes,Belonidae,Strongylura exilis,coastal epipelagic,epipelagic,coastal,UN,0,0,4.5,elongated,1
Actinopterygii,Beloniformes,Scomberesocidae,Cololabis saira,oceanic epipelagic,epipelagic,oceanic,0,0,0,3.71,elongated,54.35
Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,oceanic epipelagic,epipelagic,oceanic,1,0,0,3.91,elongated,64.81
Actinopterygii,Clupeiformes,Clupeidae,Clupea pallasii pallasii,coastal epipelagic,epipelagic,coastal,1,0,0,3.16,fusiform ,0
Actinopterygii,Clupeiformes,Clupeidae,Sardina pilchardus,coastal epipelagic,epipelagic,coastal,1,0,0,3.06,fusiform ,3.4
Actinopterygii,Clupeiformes,Clupeidae,Sardinella aurita,coastal epipelagic,epipelagic,coastal,1,1,0,3.4,fusiform ,0
Actinopterygii,Clupeiformes,Clupeidae,Sardinops sagax,coastal epipelagic,epipelagic,coastal,1,0,0,2.84,fusiform ,29.07
Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,coastal epipelagic,epipelagic,coastal,1,0,0,3.12,elongated,29.2
Actinopterygii,Clupeiformes,Engraulidae,Engraulis japonicus,coastal epipelagic,epipelagic,coastal,1,0,0,3.14,elongated,85.4
Actinopterygii,Clupeiformes,Engraulidae,Engraulis mordax,coastal epipelagic,epipelagic,coastal,1,0,0,3.1,elongated,69.7
Actinopterygii,Gadiformes,Gadidae,Microgadus proximus,continental demersal,demersal,continental shelf,UN,1,0,3.58,fusiform ,9.5
Actinopterygii,Gadiformes,Gadidae,Micromesistius poutassou,mesopelagic,mesopelagic,oceanic,1,0,0,4.13,elongated,72.4
Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,continental demersal,demersal,continental shelf,0,1,0,3.47,elongated,8
Actinopterygii,Gadiformes,Merlucciidae,Merluccius productus,benthopelagic,benthopelagic,continental shelf,1,0,1,4.35,elongated,100
Actinopterygii,Lampriformes,Trachipteridae,Desmodema polystictum,mesopelagic,mesopelagic,oceanic,UN,0,0,4.15,elongated,0
Actinopterygii,Lampriformes,Trachipteridae,Trachipterus trachypterus,mesopelagic,mesopelagic,oceanic,UN,0,0,2.88,eel-like,0
Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,mesopelagic,mesopelagic,oceanic,1,0,0,2.99,fusiform ,10.3
Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,mesopelagic,mesopelagic,oceanic,1,0,0,3.05,elongated,29.63
Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus townsendi,mesopelagic,mesopelagic,oceanic,1,0,0,3.5,elongated,7.7
Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus warmingii,mesopelagic,mesopelagic,oceanic,1,0,0,3.4,elongated,5.6
Actinopterygii,Myctophiformes,Myctophidae,Diaphus luetkeni,mesopelagic,mesopelagic,oceanic,1,0,0,3.78,elongated,2.86
Actinopterygii,Myctophiformes,Myctophidae,Diaphus theta,mesopelagic,mesopelagic,oceanic,1,0,0,3.19,fusiform ,5.6
Actinopterygii,Myctophiformes,Myctophidae,Electrona rissoi,mesopelagic,mesopelagic,oceanic,1,0,0,3.4,elongated,5.71
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus alatus,mesopelagic,mesopelagic,oceanic,1,0,0,3.22,elongated,5.56
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,bathypelagic,bathypelagic,oceanic,1,0,0,3.22,elongated,48.57
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,mesopelagic,mesopelagic,oceanic,1,0,0,3.4,elongated,37.04
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus mexicanus,mesopelagic,mesopelagic,oceanic,1,0,0,3.4,elongated,1
Actinopterygii,Myctophiformes,Myctophidae,Lobianchia gemellarii,mesopelagic,mesopelagic,oceanic,1,0,0,3,elongated,4
Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,mesopelagic,mesopelagic,oceanic,1,0,0,3.390000105,elongated,68.52
Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium regale,mesopelagic,mesopelagic,oceanic,0,0,0,3.2,elongated,1
